repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
13,Default,model_prediction,3,4,"[0,4,0,0]",242.2,242.2,244.7,244.7,1.0,733.06,4
13,Default,model_prediction,4,10,"[6,1,0,3]",40.78212356567383,24.963203057957866,42.16,30.49173794808405,0.7232385661310259,752.83,5
14,Default,model_prediction,0,2,"[0,0,2,0]",204.01,204.01,204.92,204.92,1.0,204.92,1
14,Default,model_prediction,1,4,"[0,4,0,0]",242.6,242.6,244.7,244.7,1.0,449.62,2
14,Default,model_prediction,2,4,"[4,0,0,0]",241.69,241.69,244.7,244.7,1.0,694.3199999999999,3
14,Default,model_prediction,3,4,"[0,4,0,0]",242.96,242.96,244.7,244.7,1.0,939.02,4
14,Default,model_prediction,4,6,"[0,0,6,0]",228.49,228.49,232.24,232.24,1.0,1171.26,5
14,Default,model_prediction,5,2,"[2,0,0,0]",206.5,206.5,204.92,204.92,1.0,1376.18,6
14,Default,model_prediction,6,10,"[2,0,0,8]",79.67720794677734,79.67720794677734,75.11,75.11,1.0,1451.29,7
15,Default,model_prediction,0,4,"[0,4,0,0]",242.96,242.96,244.7,244.7,1.0,244.7,1
15,Default,model_prediction,1,6,"[6,0,0,0]",230.16,230.16,232.24,232.24,1.0,476.94,2
15,Default,model_prediction,2,2,"[0,0,0,2]",197.69,197.69,204.92,204.92,1.0,681.86,3
15,Default,model_prediction,3,10,"[0,0,8,2]",78.7754135131836,78.7754135131836,75.11,75.11,1.0,756.97,4
15,Default,model_prediction,4,10,"[2,4,0,4]",74.82026672363281,22.51151065501853,73.76,29.742814536172503,0.40323772418888965,741.8900000000001,5
16,Default,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
16,Default,model_prediction,1,14,"[1,3,2,8]",41.38874816894531,41.38874816894531,41.33,41.33,1.0,286.03,2
16,Default,model_prediction,2,12,"[3,3,6,0]",87.3429946899414,56.46087071571795,86.06,57.84847947248606,0.6721877698406468,330.33,3
16,Default,model_prediction,3,2,"[0,2,0,0]",206.29,206.29,204.92,204.92,1.0,535.25,4
17,Default,model_prediction,0,12,"[8,1,1,2]",40.98386001586914,40.98386001586914,38.74,38.74,1.0,38.74,1
17,Default,model_prediction,1,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,243.66,2
17,Default,model_prediction,2,6,"[0,0,6,0]",229.41,229.41,232.24,232.24,1.0,475.9,3
17,Default,model_prediction,3,2,"[0,2,0,0]",205.3,205.3,204.92,204.92,1.0,680.8199999999999,4
17,Default,model_prediction,4,2,"[0,2,0,0]",205.73,205.73,204.92,204.92,1.0,885.7399999999999,5
17,Default,model_prediction,5,6,"[0,0,0,6]",229.82,229.82,232.24,232.24,1.0,1117.98,6
17,Default,model_prediction,6,2,"[0,1,1,0]",41.603755950927734,33.947396618526106,38.47,33.088883564305135,0.8601217458878382,1145.6499999999999,7
18,Default,model_prediction,0,12,"[8,1,2,1]",40.82665252685547,40.82665252685547,38.74,38.74,1.0,38.74,1
18,Default,model_prediction,1,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,243.66,2
18,Default,model_prediction,2,12,"[0,2,3,7]",73.68949890136719,37.50072952769457,68.53,44.61764892327771,0.6510674000186446,274.76,3
18,Default,model_prediction,3,4,"[0,1,3,0]",233.71,55.52787757039811,41.96,23.613219861958047,0.5627554781210211,288.9,4
18,Default,model_prediction,4,2,"[0,2,0,0]",206.14,206.14,204.92,204.92,1.0,493.81999999999994,5
19,Default,model_prediction,0,12,"[1,1,2,8]",40.61369323730469,40.61369323730469,38.74,38.74,1.0,38.74,1
19,Default,model_prediction,1,14,"[7,3,4,0]",88.89603424072266,56.358735826937824,77.23,57.025134948693626,0.738380615676468,85.63,2
19,Default,model_prediction,2,6,"[0,4,2,0]",72.88567352294922,34.55508348372392,71.27,39.041678594317446,0.5477996154667806,102.57,3
0,Topo,model_prediction,0,6,"[6,0,0,0]",230.16,230.16,232.24,232.24,1.0,232.24,1
0,Topo,model_prediction,1,10,"[0,8,2,0]",79.98919677734375,79.98919677734375,75.11,75.11,1.0,307.35,2
0,Topo,model_prediction,2,2,"[2,0,0,0]",206.85,206.85,204.92,204.92,1.0,512.27,3
0,Topo,model_prediction,3,2,"[0,0,2,0]",205.96,205.96,204.92,204.92,1.0,717.1899999999999,4
0,Topo,model_prediction,4,2,"[0,0,2,0]",206.21,206.21,204.92,204.92,1.0,922.1099999999999,5
0,Topo,model_prediction,5,2,"[0,0,2,0]",112.91,112.91,204.92,204.92,1.0,1127.03,6
0,Topo,model_prediction,6,6,"[0,0,0,6]",230.03,230.03,232.24,232.24,1.0,1359.27,7
0,Topo,model_prediction,7,2,"[0,0,0,2]",206.14,206.14,204.92,204.92,1.0,1564.19,8
1,Topo,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
1,Topo,model_prediction,1,12,"[0,8,4,0]",138.6996307373047,138.6996307373047,141.27,141.27,1.0,385.97,2
1,Topo,model_prediction,2,2,"[2,0,0,0]",205.97,205.97,204.92,204.92,1.0,590.89,3
1,Topo,model_prediction,3,4,"[0,0,4,0]",242.35,242.35,244.7,244.7,1.0,835.5899999999999,4
1,Topo,model_prediction,4,6,"[0,0,0,6]",230.03,230.03,232.24,232.24,1.0,1067.83,5
1,Topo,model_prediction,5,2,"[2,0,0,0]",206.85,206.85,204.92,204.92,1.0,1272.75,6
1,Topo,model_prediction,6,2,"[0,0,0,2]",206.14,206.14,204.92,204.92,1.0,1477.67,7
2,Topo,model_prediction,0,6,"[6,0,0,0]",230.16,230.16,232.24,232.24,1.0,232.24,1
2,Topo,model_prediction,1,6,"[0,6,0,0]",228.45,228.45,232.24,232.24,1.0,464.48,2
2,Topo,model_prediction,2,4,"[0,0,4,0]",242.63,242.63,244.7,244.7,1.0,709.1800000000001,3
2,Topo,model_prediction,3,12,"[0,0,4,8]",138.9688262939453,138.9688262939453,141.27,141.27,1.0,850.45,4
2,Topo,model_prediction,4,4,"[2,2,0,0]",76.48541259765625,76.48541259765625,77.34,77.34,1.0,927.7900000000001,5
