test_num,repeat,algo,result,bw
27,45,Max_bw,"[8, 7, 6, 6]",99.18
27,46,myalgo,[1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1],69.35
27,46,upper_BandDisp,[1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,46,Max_bw,"[8, 7, 6, 6]",99.18
27,47,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1],69.35
27,47,upper_BandDisp,[0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1],99.18
27,47,Max_bw,"[8, 7, 6, 6]",99.18
27,48,myalgo,[1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0],69.35
27,48,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,48,Max_bw,"[8, 7, 6, 6]",99.18
27,49,myalgo,[1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1],69.35
27,49,upper_BandDisp,[0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,49,Max_bw,"[8, 7, 6, 6]",99.18
